Crop,pH,EC,Organic_Carbon,Nitrogen,Phosphorus,Potassium,Sulphur,Zinc,Iron,Copper,Manganese,Boron
Wheat,6.45,0.12,0.42,483,40,332,45,0.32,9.91,1.67,1.49,0.52
Bajra,8.45,0.44,0.63,413,38,116,36,0.76,9.45,1.9,1.8,0.27
Sugarcane,5.79,0.51,1.17,332,28,536,20,1.48,7.38,0.79,4.9,0.15
Cotton,6.95,0.95,0.48,548,38,103,7,0.77,7.52,0.17,7.39,0.59
Grapes,6.85,1.19,0.42,306,16,105,44,1.69,6.68,0.98,5.56,0.44
Gram,7.66,1.01,0.99,620,35,370,19,1.93,8.52,1.79,1.41,0.3
Soybean,6.65,0.13,1.16,393,16,364,51,1.61,8.53,1.02,7.27,0.9
Sugarcane,7.3,0.95,0.25,270,32,428,22,0.78,8.49,1.61,6.21,0.79
Onion,5.85,0.27,0.87,375,40,283,50,0.93,4.16,1.53,6.09,1.23
Soybean,5.68,0.86,0.95,194,7,429,14,0.28,9.28,1.69,7.56,0.13
Sugarcane,7.87,0.91,0.64,493,19,115,40,1.91,9.55,1.91,6.6,0.32
Soybean,6.19,0.37,0.88,604,10,348,59,1.72,4.05,0.29,2.09,0.83
Soybean,8.22,0.35,0.29,520,25,259,30,1.08,4.93,0.1,1.01,0.95
Bajra,7.58,0.64,0.86,574,14,203,35,0.41,4.09,0.64,6.12,1.04
Wheat,7.95,0.35,0.9,521,36,364,37,1.25,2.74,2.0,7.04,0.72
Wheat,6.97,0.33,1.05,478,33,580,26,0.91,7.17,0.41,5.92,1.02
Groundnut,6.24,0.65,0.47,236,17,562,54,0.64,8.01,0.68,6.84,1.45
Banana,7.45,0.93,1.11,403,24,511,34,0.98,6.25,0.57,4.23,0.19
Gram,8.0,0.84,0.9,267,15,118,23,1.4,3.07,1.94,4.82,1.35
Bajra,8.05,0.78,1.11,547,27,158,26,0.87,6.59,0.99,7.68,0.52
Tomato,5.53,1.34,0.86,446,43,412,60,1.28,4.2,1.92,6.43,0.85
Jowar,8.16,1.15,1.02,492,28,242,27,1.0,5.8,1.16,3.33,1.19
Sugarcane,7.51,0.19,0.78,623,34,161,34,0.24,3.13,1.03,6.3,0.37
Wheat,5.87,1.31,0.51,239,30,299,35,0.54,6.77,0.93,5.75,1.33
Tur,6.51,0.19,0.88,554,39,269,30,1.46,6.35,1.98,2.88,0.9
Cotton,6.71,1.06,0.27,541,9,177,48,1.03,4.16,1.31,1.31,0.4
Onion,8.02,0.88,0.76,258,23,213,39,1.63,3.16,0.96,1.9,0.64
Groundnut,6.62,0.92,1.08,545,29,119,49,1.6,9.09,0.45,7.06,0.37
Bajra,8.37,0.12,0.75,329,15,431,8,1.02,9.92,0.7,7.47,1.37
Jowar,8.34,0.91,0.52,286,8,276,41,0.97,3.15,1.08,5.29,0.89
Groundnut,6.9,1.47,0.84,475,32,535,12,1.42,6.59,1.21,2.24,0.23
Tur,6.09,1.33,0.78,273,30,412,52,1.34,7.0,1.63,2.59,0.92
Jowar,7.02,0.84,0.62,389,23,326,12,0.84,6.09,0.8,6.99,1.21
Onion,5.58,0.51,0.42,420,16,101,9,1.13,9.03,0.59,1.4,1.43
Wheat,6.13,0.36,0.36,250,26,480,41,1.25,4.74,1.66,1.0,0.33
Gram,7.81,0.23,1.05,255,44,267,56,0.66,5.08,1.09,3.84,0.59
Cotton,6.66,0.93,0.68,612,43,464,24,0.73,2.29,0.51,6.76,1.32
Onion,6.7,0.28,1.02,245,6,373,43,1.34,9.85,1.09,6.54,1.04
Tur,8.49,1.41,1.13,566,26,251,35,1.37,7.25,0.83,6.15,1.25
Groundnut,7.4,0.49,1.01,357,40,336,40,1.04,5.37,1.88,2.12,1.5
Cotton,6.42,0.28,1.14,239,34,579,24,1.72,4.71,0.18,1.17,0.67
Onion,6.55,1.33,0.66,166,10,575,44,0.27,8.24,1.65,5.45,1.02
Cotton,7.36,0.82,0.23,161,27,569,34,1.56,4.38,1.53,3.74,0.29
Wheat,7.05,0.5,0.69,192,5,123,18,1.21,4.95,1.61,3.27,1.24
Grapes,6.83,1.21,0.78,319,19,509,23,1.27,8.17,1.38,2.21,0.39
Gram,7.65,0.7,0.69,539,29,297,47,1.58,3.07,1.23,6.01,0.6
Rice,6.19,0.6,1.19,359,12,600,21,1.17,9.05,0.9,3.25,0.56
Banana,7.39,0.19,0.72,183,44,332,5,1.85,8.38,0.39,7.19,1.48
Cotton,7.55,0.73,0.66,218,31,152,51,0.72,4.31,1.32,3.51,1.02
Bajra,7.83,0.9,0.99,342,8,136,15,0.39,9.49,0.27,5.25,1.19
Wheat,8.27,1.03,0.44,200,37,371,50,0.93,5.52,0.65,7.11,0.63
Gram,7.28,0.54,0.47,407,36,312,7,1.63,2.25,1.23,6.19,0.28
Grapes,7.28,1.3,0.77,443,9,243,33,1.0,9.84,1.66,5.95,0.52
Cotton,5.66,1.07,0.27,647,28,250,49,0.66,5.39,1.04,2.93,0.65
Grapes,6.57,0.16,0.4,212,12,249,55,1.56,3.19,1.52,1.27,1.11
Wheat,7.95,1.13,0.48,589,31,591,12,1.96,5.61,0.13,3.59,1.44
Banana,6.89,0.7,0.28,580,26,416,37,1.02,5.66,1.42,7.03,0.23
Tur,5.72,0.45,0.96,567,29,583,47,1.73,8.04,0.51,5.41,0.95
Sugarcane,6.11,0.97,0.31,505,43,415,19,1.4,8.27,1.56,6.43,1.27
Banana,7.81,0.45,0.89,495,8,142,45,1.89,7.69,0.31,3.57,0.25
Rice,6.38,0.98,0.81,505,5,452,12,1.99,5.06,1.51,1.3,0.28
Sugarcane,7.03,0.33,0.3,185,14,584,32,1.66,3.17,1.29,5.36,0.4
Banana,7.43,0.56,0.43,463,35,495,6,0.71,2.22,1.54,5.23,0.98
Tomato,6.8,1.41,1.09,600,39,478,16,1.56,3.7,1.94,5.67,1.14
Gram,6.31,0.9,1.08,573,37,157,12,1.77,2.77,1.73,6.71,0.81
Grapes,7.94,0.67,1.2,425,38,183,55,0.24,9.37,0.83,6.06,1.04
Tur,5.68,0.94,0.39,255,40,508,22,1.55,7.33,1.89,1.52,0.97
Bajra,6.96,0.45,0.64,162,41,592,24,1.32,7.03,1.93,6.1,0.45
Groundnut,7.59,1.34,0.42,486,20,567,29,0.51,2.49,0.3,7.95,0.72
Gram,7.61,0.65,1.06,379,33,403,10,1.7,6.38,0.69,2.5,0.73
Sugarcane,6.49,0.43,0.97,485,24,367,27,1.77,2.22,1.02,3.86,0.66
Onion,7.09,0.6,0.27,415,22,356,38,1.55,8.48,0.92,6.24,0.29
Gram,7.87,0.97,1.19,618,10,317,40,0.23,3.78,0.38,3.86,0.84
Bajra,8.05,1.22,0.63,433,43,172,31,0.99,2.46,1.07,2.39,1.15
Maize,8.49,1.05,0.68,363,37,595,58,1.39,5.72,1.45,5.35,0.33
Grapes,7.14,1.12,0.58,439,9,487,17,1.14,3.56,1.75,2.7,0.76
Banana,7.99,1.05,0.35,547,30,527,32,1.35,4.72,1.13,5.81,1.41
Maize,5.7,0.59,0.48,393,11,179,31,0.52,8.25,1.78,2.2,0.25
Rice,7.71,1.2,0.99,285,14,376,39,0.6,7.5,0.55,2.67,0.31
Tomato,5.59,1.19,0.89,647,15,578,52,0.37,8.32,1.43,2.22,1.28
Sugarcane,7.47,0.45,0.86,302,7,108,7,0.35,3.84,0.55,1.9,0.67
Maize,8.28,0.91,0.37,483,36,497,12,1.14,5.85,0.81,1.54,1.27
Maize,5.9,0.86,0.21,201,38,416,53,1.1,5.05,0.55,7.8,0.78
Rice,7.06,1.07,0.89,468,24,323,57,1.34,7.56,0.41,3.22,0.2
Banana,7.29,1.11,0.8,613,31,460,35,0.94,6.82,0.18,1.7,0.43
Soybean,6.01,0.69,0.97,505,15,395,48,1.9,7.81,1.0,4.02,0.49
Tomato,6.21,1.04,0.34,269,31,366,42,1.08,4.49,0.96,5.92,1.47
Tomato,8.44,0.28,0.81,241,37,391,11,1.98,3.8,2.0,2.57,1.11
Soybean,8.28,0.14,1.12,261,29,545,11,1.45,4.58,1.55,6.81,0.87
Jowar,6.23,1.48,0.85,432,18,561,5,1.07,4.58,0.97,7.56,0.81
Tomato,5.54,0.94,0.97,369,11,452,27,0.22,8.94,1.74,3.82,1.21
Soybean,8.38,0.88,0.7,262,12,166,51,1.04,7.02,0.58,7.77,1.03
Grapes,6.73,1.44,0.49,162,38,537,56,1.53,3.83,1.84,1.42,1.13
Onion,7.36,0.85,0.24,359,39,169,41,2.0,8.53,0.45,6.76,1.47
Wheat,5.51,0.9,0.8,192,11,301,59,1.69,3.65,1.23,6.24,1.27
Soybean,5.95,0.72,0.58,267,20,427,13,0.49,8.37,0.44,2.16,1.4
Tomato,7.75,0.63,0.84,414,37,444,59,0.93,6.15,1.18,6.77,0.8
Bajra,7.85,1.31,0.84,582,18,316,37,1.8,4.4,0.13,1.11,1.5
Cotton,7.8,0.59,0.52,280,14,539,36,1.26,4.42,0.27,2.26,0.4
Banana,5.83,1.07,1.05,435,8,430,32,1.29,3.24,0.66,3.95,1.49
Tomato,7.9,0.9,0.54,553,12,213,56,1.95,5.42,0.78,2.95,0.76
Wheat,6.69,1.47,0.76,539,12,148,59,1.26,3.97,0.79,2.56,1.13
Tomato,6.73,0.56,0.59,201,7,131,54,0.42,6.16,1.31,3.22,0.76
Soybean,6.42,0.35,0.81,562,27,415,10,0.87,2.36,1.67,7.48,0.6
Grapes,7.91,0.32,0.87,210,5,307,49,1.52,9.81,0.94,3.57,0.59
Tur,6.57,0.19,0.49,155,34,325,9,1.32,6.39,0.84,2.16,0.54
Jowar,6.14,0.48,1.11,444,14,130,33,0.93,2.63,1.08,5.47,0.81
Gram,7.58,1.0,1.09,600,13,491,28,0.72,8.15,0.88,4.86,0.69
Banana,7.27,0.45,0.66,481,43,126,55,1.97,8.92,1.91,5.18,0.99
Jowar,5.88,0.16,0.55,533,30,258,24,1.08,7.44,0.24,3.42,0.32
Soybean,7.26,0.81,1.19,399,26,510,32,1.71,7.99,1.37,5.18,0.33
Banana,8.39,0.13,0.82,571,7,142,11,0.73,5.79,1.95,1.22,0.59
Bajra,8.07,1.06,0.66,383,8,115,6,1.02,9.66,1.02,1.25,1.26
Jowar,6.96,1.1,0.73,415,19,148,5,0.51,5.57,1.82,6.84,1.07
Bajra,6.09,0.79,0.8,525,37,277,5,0.74,3.68,0.92,6.58,0.75
Grapes,7.15,1.19,0.32,450,23,177,35,1.25,8.51,0.47,4.61,1.0
Banana,5.64,1.48,0.91,517,45,385,50,1.11,6.35,0.71,5.0,0.14
Bajra,7.31,0.49,0.94,624,19,262,44,1.45,3.39,0.19,2.62,1.45
Grapes,5.93,0.4,0.87,593,22,430,49,1.81,7.43,0.64,7.86,0.6
Sugarcane,7.77,0.28,0.32,336,13,315,11,1.69,6.63,1.65,5.98,0.42
Onion,8.14,1.33,1.16,490,13,260,16,1.68,2.53,1.58,4.09,1.39
Tur,7.1,0.94,0.65,576,14,410,14,1.34,6.6,0.64,1.2,0.23
Jowar,8.39,0.39,1.16,585,34,433,23,1.77,7.58,1.79,6.83,0.28
Tomato,6.92,1.04,0.25,498,11,357,35,0.26,7.37,0.94,2.12,0.14
Gram,7.98,0.55,0.56,280,44,419,17,1.04,2.23,0.15,2.85,0.17
Gram,6.9,0.41,1.15,364,40,476,14,1.4,6.62,1.59,1.97,0.31
Jowar,7.61,1.07,1.13,414,7,299,28,2.0,4.54,1.08,5.75,0.18
Rice,8.45,0.7,0.63,610,22,236,52,1.78,4.04,1.4,1.84,1.03
Groundnut,7.48,0.31,1.15,455,43,250,59,0.9,2.58,1.0,5.06,0.63
Onion,6.06,0.43,0.45,560,27,344,17,0.94,9.35,0.27,3.75,0.64
Cotton,5.59,1.32,0.21,645,12,146,12,1.12,2.68,0.45,5.13,1.14
Grapes,5.52,1.24,0.63,238,42,285,51,1.6,7.29,1.99,7.01,1.32
Sugarcane,6.32,0.5,1.04,231,18,376,21,1.13,7.5,1.17,5.39,0.12
Jowar,6.71,1.19,1.12,203,6,356,55,0.87,9.8,1.39,1.47,1.01
Maize,8.31,0.44,0.72,550,5,254,25,1.42,7.55,0.61,3.57,0.86
Soybean,7.84,0.99,1.16,552,21,456,26,0.2,8.4,1.28,5.96,0.57
Maize,8.33,1.29,0.49,322,37,110,20,1.37,3.81,1.5,4.44,0.63
Banana,6.47,0.98,0.87,399,26,460,33,0.85,3.31,0.24,3.69,1.16
Soybean,8.23,0.64,0.32,208,14,327,20,0.38,7.63,1.25,6.05,1.38
Onion,7.59,0.96,1.12,284,20,538,26,1.36,9.79,1.48,7.6,0.63
Sugarcane,5.58,0.47,1.14,201,37,588,31,0.32,8.47,0.99,2.08,1.21
Jowar,6.52,0.15,1.14,307,31,226,36,1.67,7.01,1.64,4.92,0.11
Onion,7.8,1.12,1.09,500,27,188,47,1.63,6.62,0.39,1.76,0.19
Wheat,6.88,1.07,0.3,451,42,398,34,0.61,7.61,1.4,7.58,0.34
Groundnut,8.23,0.59,0.26,498,19,332,44,1.41,8.53,0.26,5.58,0.2
Wheat,7.85,0.23,1.05,302,11,116,49,1.45,6.23,0.1,1.38,0.76
Bajra,7.7,0.13,1.09,161,44,288,55,1.93,4.91,0.19,5.2,0.33
Maize,6.86,0.61,0.32,375,43,113,36,0.6,3.22,0.21,7.76,1.38
Maize,7.2,1.26,1.17,631,27,460,15,0.21,7.53,1.9,1.59,1.12
Maize,7.45,0.19,0.25,591,42,519,17,1.77,4.32,1.46,6.49,1.0
Grapes,6.37,0.67,0.78,418,37,567,56,1.0,8.44,1.19,3.56,1.26
Jowar,8.32,0.44,0.79,386,6,591,46,0.41,5.75,0.34,5.18,0.57
Tomato,7.74,0.91,1.07,470,13,324,29,1.88,5.06,0.28,5.69,0.34
Soybean,6.41,0.89,0.8,631,18,259,23,0.45,5.06,0.64,6.82,0.69
Jowar,6.32,0.85,0.64,259,20,385,15,1.24,3.21,0.63,6.36,0.35
Rice,7.13,0.97,0.65,359,13,227,37,1.13,8.54,1.28,3.62,0.82
Bajra,7.76,0.97,0.91,159,16,408,16,1.24,6.97,1.68,4.91,0.27
Soybean,7.83,1.1,0.32,637,34,137,49,1.73,4.68,0.91,3.65,0.36
Grapes,8.17,0.35,1.12,589,33,407,15,0.42,9.6,0.2,3.62,0.25
Gram,6.13,1.34,0.5,560,34,284,25,1.02,4.98,1.99,7.27,0.88
Grapes,7.93,0.31,0.79,277,34,527,19,1.24,9.56,0.7,2.64,0.2
Bajra,6.26,1.25,1.05,175,14,528,42,1.06,9.36,0.52,1.28,0.67
Banana,6.44,0.26,0.64,489,27,206,58,1.56,9.02,0.17,5.67,0.84
Banana,6.55,1.38,0.79,440,9,394,40,0.2,9.67,0.69,6.33,0.23
Onion,8.18,0.83,1.19,496,13,512,49,1.42,5.11,0.37,6.6,0.57
Grapes,7.0,0.76,0.74,560,33,584,11,1.41,2.9,0.73,3.44,0.18
Wheat,6.41,0.85,0.75,487,23,570,49,1.25,5.87,0.1,7.52,1.36
Soybean,6.51,0.56,0.4,569,8,208,60,0.92,9.88,1.54,3.11,0.87
Jowar,7.42,1.48,0.78,318,22,148,10,0.45,3.86,1.74,1.73,0.13
Maize,7.68,1.33,0.23,314,36,542,26,1.93,9.81,0.73,4.32,1.03
Sugarcane,6.48,0.6,0.9,415,9,321,55,1.91,9.22,0.99,5.92,0.51
Grapes,6.72,0.81,0.23,202,24,327,55,0.7,8.58,0.46,6.31,0.38
Maize,7.15,1.08,0.75,611,15,165,40,1.09,5.8,1.09,1.72,0.77
Groundnut,7.68,0.85,0.51,357,5,202,42,0.95,5.13,0.27,5.65,1.45
Wheat,6.24,0.52,0.68,423,11,458,27,1.65,3.48,1.81,2.96,1.47
Tomato,8.18,1.41,0.54,498,34,436,43,1.21,7.68,1.72,5.31,0.47
Bajra,5.77,0.2,1.06,438,7,522,10,0.29,9.76,1.88,4.34,1.31
Grapes,6.33,1.45,0.57,624,39,167,14,0.65,4.75,0.63,6.55,1.31
Tur,8.41,0.62,0.79,296,6,438,9,0.35,4.49,1.45,4.04,1.09
Cotton,8.13,0.78,0.63,479,17,329,58,1.52,8.83,1.07,7.92,1.17
Groundnut,5.95,0.26,0.42,338,26,583,48,1.68,6.7,1.8,1.6,0.55
Rice,7.51,1.42,0.49,230,37,195,54,1.15,9.48,0.82,3.51,1.49
Jowar,6.28,1.4,1.06,549,30,479,13,0.24,8.37,1.5,7.08,0.54
Bajra,7.0,1.12,1.2,400,40,292,12,1.87,2.66,0.73,4.69,0.25
Cotton,6.59,1.24,0.56,219,40,563,58,1.24,7.23,0.62,2.02,1.04
Tomato,6.8,1.15,0.7,413,7,323,19,1.71,3.58,1.6,5.15,1.31
Rice,7.58,1.45,0.34,414,33,476,41,1.19,7.67,1.67,1.14,0.23
Maize,6.23,0.1,0.98,317,23,289,32,0.26,5.54,0.62,2.38,0.85
Tomato,8.36,0.33,0.4,587,20,197,40,1.35,4.78,0.17,5.99,0.5
Tomato,7.06,0.45,1.15,506,45,467,55,1.85,5.89,1.63,3.8,0.53
Gram,7.92,1.06,0.54,361,14,349,23,1.56,3.96,0.92,6.77,1.15
Rice,8.33,0.11,0.91,167,33,529,49,1.49,6.33,0.58,5.94,1.01
Banana,6.13,0.27,0.93,607,15,504,49,1.22,7.95,0.32,1.92,1.34
Bajra,7.08,0.57,0.37,595,45,564,6,1.07,3.38,1.13,7.65,1.08
Sugarcane,6.13,0.13,0.89,645,5,544,43,1.64,9.45,1.83,5.0,0.69
Jowar,7.49,0.73,0.36,482,12,229,45,1.27,2.96,1.07,5.45,1.4
Jowar,8.13,1.47,0.98,530,7,426,5,1.1,5.53,0.57,4.63,0.69
Rice,6.21,1.27,1.04,311,20,597,55,1.34,6.97,1.28,5.05,0.42
Tur,8.49,1.43,0.98,257,14,103,24,1.99,8.93,0.15,7.68,0.14
Cotton,6.93,0.51,0.7,411,24,122,30,1.05,5.94,1.85,4.74,0.54
Jowar,6.18,0.43,0.89,355,44,405,13,0.8,8.62,0.47,1.47,0.85
Wheat,6.96,0.33,0.9,425,38,351,8,1.6,5.66,0.55,3.25,1.44
Gram,6.63,1.28,0.9,165,34,396,38,0.39,7.37,0.41,7.78,0.47
Bajra,5.64,1.13,1.01,637,13,209,11,1.77,3.31,0.86,1.82,1.48
Tomato,7.41,1.25,0.88,404,34,480,28,1.75,8.61,0.65,1.73,1.44
Tomato,7.37,1.13,0.3,352,16,334,12,0.7,4.67,0.49,6.69,0.78
Soybean,6.83,0.15,0.87,466,41,176,15,1.4,2.51,0.78,7.66,1.25
Onion,7.83,0.37,0.66,548,6,450,26,1.84,7.47,1.22,5.49,1.43
Maize,7.91,1.39,1.05,243,35,385,21,0.27,2.26,1.85,3.4,0.82
Onion,6.87,0.35,0.85,448,15,197,6,1.63,2.54,0.94,3.57,1.25
Onion,7.73,0.43,0.75,563,16,192,33,0.53,2.94,0.29,3.33,0.65
Bajra,7.14,1.16,0.6,311,38,587,25,1.91,8.38,1.58,1.87,0.51
Gram,7.46,0.33,0.49,399,13,398,26,1.55,6.92,1.54,5.94,1.25
Tur,8.33,1.14,0.85,251,13,576,29,0.56,4.15,0.59,1.69,0.9
Tomato,7.04,1.22,0.63,577,11,103,12,0.37,8.47,0.95,1.9,0.88
Grapes,6.67,0.51,0.4,356,39,156,42,1.98,8.42,0.13,1.65,1.11
Onion,8.23,1.44,1.02,276,17,520,44,0.7,9.42,0.57,7.4,0.73
Maize,5.66,0.4,1.01,206,26,519,16,0.27,4.4,0.33,7.02,0.67
Onion,7.48,0.14,0.26,274,6,599,9,1.31,7.51,0.82,1.74,0.44
Maize,6.47,0.71,0.66,296,40,174,16,1.55,8.73,0.97,7.38,0.88
Sugarcane,5.97,0.73,0.97,396,43,558,28,1.15,6.18,1.07,1.75,1.47
Tur,7.76,0.66,0.51,496,7,269,18,1.95,7.69,0.28,7.89,0.89
Sugarcane,7.65,0.6,0.5,345,22,224,38,0.9,8.18,1.66,6.5,1.22
Groundnut,5.81,0.23,0.43,325,43,252,49,1.3,5.68,0.5,4.02,0.23
Onion,7.88,0.72,0.39,628,9,316,10,0.82,9.21,1.97,4.98,0.42
Soybean,8.1,1.48,0.7,572,28,232,30,0.93,9.53,0.8,5.88,0.43
Sugarcane,7.59,0.7,1.2,286,44,138,5,1.8,4.72,1.74,2.16,1.44
Cotton,7.3,1.23,0.74,286,25,147,34,1.57,9.49,0.48,2.45,1.47
Gram,6.25,0.63,0.97,443,27,220,6,1.69,4.23,0.35,2.04,0.87
Tur,7.22,1.0,0.82,381,20,239,9,0.79,9.55,1.45,2.59,1.4
Banana,7.37,0.77,0.47,234,8,355,13,1.67,5.77,0.23,2.83,1.38
Banana,8.33,0.95,0.83,354,28,261,9,0.21,7.98,1.31,2.59,0.93
Sugarcane,7.11,1.15,1.18,494,12,192,40,0.45,3.18,1.83,6.23,0.87
Gram,8.14,0.86,0.76,481,23,460,42,1.35,6.13,0.83,5.28,1.33
Cotton,7.69,1.44,0.97,279,35,138,49,0.39,5.0,1.48,5.12,1.11
Tomato,6.44,0.76,0.68,602,5,596,13,0.52,4.95,1.03,1.82,1.38
Tur,6.45,0.29,0.42,339,41,278,54,1.05,7.01,0.25,3.9,1.42
Banana,8.43,1.16,0.78,250,15,199,50,0.88,7.39,0.29,1.07,0.95
Tur,6.57,0.96,0.56,630,37,364,33,1.46,9.34,1.15,7.36,0.72
Groundnut,6.86,1.46,0.51,364,32,352,43,0.63,4.68,0.82,4.36,0.94
Groundnut,5.72,0.98,1.13,430,22,277,50,0.63,4.79,1.48,5.41,0.18
Tomato,5.74,1.07,0.81,636,37,421,43,0.7,7.63,0.74,3.75,0.61
Wheat,6.98,1.43,0.67,635,33,106,16,1.25,2.0,1.34,2.59,1.23
Sugarcane,7.86,1.46,0.7,154,17,549,33,1.52,6.44,1.02,7.56,0.45
Tur,6.0,1.35,0.83,566,41,439,9,1.25,7.87,1.41,3.27,1.26
Rice,6.24,1.41,0.33,467,13,486,15,0.71,5.2,1.34,1.16,0.47
Banana,8.29,0.99,0.25,307,41,231,17,0.51,4.24,0.52,3.16,0.14
Wheat,6.39,0.53,1.05,553,44,373,40,1.37,7.77,1.4,4.84,0.69
Jowar,7.69,0.72,0.65,530,10,363,41,0.81,9.61,1.21,4.29,0.59
Maize,6.45,0.74,0.31,556,26,230,17,0.87,4.67,0.95,3.74,0.41
Gram,7.76,0.27,0.33,587,12,374,44,1.83,3.39,0.55,2.19,1.32
Groundnut,8.16,0.95,0.72,639,20,147,33,0.68,8.87,1.74,1.45,1.46
Gram,6.27,1.1,0.26,525,22,489,55,0.71,8.83,0.16,5.38,1.46
Bajra,7.02,0.94,1.18,363,19,346,19,1.68,5.69,1.37,5.8,0.93
Onion,5.8,0.16,0.95,200,24,588,13,1.02,2.9,1.01,4.55,1.03
Tur,6.85,0.43,0.27,423,33,265,60,1.84,5.18,0.61,1.39,1.43
Groundnut,7.49,0.78,1.14,254,45,314,42,0.62,3.19,0.73,7.17,0.79
Maize,7.07,1.29,0.46,239,40,172,37,1.18,4.98,1.56,7.0,0.83
Maize,7.62,1.16,0.66,193,36,546,15,1.34,8.14,1.22,7.99,0.53
Tomato,7.84,0.89,1.08,639,13,559,6,0.89,6.62,0.81,6.99,0.13
Soybean,7.92,0.65,0.51,592,35,554,29,0.66,7.47,1.58,7.15,1.37
Groundnut,6.63,0.88,0.63,608,20,126,21,1.92,4.44,1.49,2.81,1.29
Jowar,6.49,0.16,0.4,150,9,228,31,0.81,8.49,1.95,6.63,1.43
Tur,6.19,1.16,0.45,443,44,289,15,1.15,5.41,1.29,1.46,1.49
Banana,8.35,1.07,1.08,610,24,335,17,1.39,9.44,1.02,5.74,0.92
Wheat,7.42,0.52,0.67,362,41,570,28,0.68,3.58,0.85,3.28,1.16
Jowar,6.68,1.19,0.6,550,6,482,27,0.84,9.35,1.82,5.08,0.3
Tomato,6.34,0.11,0.91,284,7,228,49,0.2,6.27,1.13,2.19,0.92
Groundnut,7.27,0.21,0.99,165,35,271,53,0.86,8.3,1.33,7.25,0.56
Maize,8.48,0.46,1.04,346,33,468,37,0.55,2.47,1.82,1.97,0.12
Tur,8.38,0.18,0.94,158,22,457,28,1.68,6.95,1.79,4.95,0.23
Gram,7.48,0.92,1.13,545,16,365,53,1.44,5.61,0.29,1.88,1.08
Cotton,7.84,0.2,0.49,218,45,245,14,0.99,4.68,1.09,5.66,0.75
Maize,6.58,0.14,0.88,290,26,455,22,0.46,4.86,0.28,4.88,0.2
Soybean,6.94,1.28,0.79,472,29,494,53,0.79,4.68,1.66,6.83,0.79
Cotton,6.72,0.74,0.6,472,18,293,13,0.5,3.3,0.46,7.73,0.25
Sugarcane,7.47,0.35,1.14,618,10,545,25,0.81,3.5,0.89,1.22,0.62
Tomato,5.72,0.98,0.55,358,33,323,13,0.99,3.97,1.78,5.98,1.08
Bajra,6.91,0.75,0.28,235,29,104,52,0.21,8.18,1.45,6.55,1.37
Tomato,6.97,0.45,0.61,366,10,350,57,0.92,4.64,0.39,1.07,1.5
Banana,6.39,0.21,0.21,287,28,192,40,1.23,6.84,0.41,3.56,0.36
Tomato,7.21,1.44,0.98,261,7,501,32,1.64,3.5,0.32,2.88,0.63
Groundnut,5.78,0.28,0.35,556,13,518,11,1.27,8.49,1.39,5.04,0.29
Tomato,6.91,0.99,0.39,558,38,226,12,1.19,3.25,0.65,1.35,1.1
Rice,6.78,1.43,1.19,596,9,232,38,1.09,9.16,1.29,3.99,0.24
Cotton,7.77,1.48,0.82,158,7,141,39,0.63,8.61,1.06,1.65,1.2
Jowar,7.17,0.27,0.82,485,13,100,46,1.52,9.85,1.59,5.01,0.74
Gram,7.06,0.42,0.78,615,37,220,24,1.87,4.99,0.33,4.23,1.16
Bajra,7.95,0.55,0.49,238,19,228,45,0.44,9.48,0.45,7.97,0.75
Sugarcane,6.69,0.63,0.23,629,19,551,13,1.0,4.91,0.84,7.41,0.34
Wheat,8.26,0.42,0.44,548,44,378,16,0.28,8.96,0.28,3.16,1.33
Jowar,5.94,0.45,0.45,346,12,517,35,1.19,3.46,0.11,3.1,1.45
Jowar,5.79,1.37,0.23,266,32,272,49,0.28,6.91,0.47,4.9,1.05
Sugarcane,7.93,1.21,0.96,426,35,330,58,0.49,8.58,0.85,6.75,0.99
Banana,8.03,1.17,0.6,606,9,496,60,1.28,5.65,1.83,1.27,1.36
Jowar,8.08,0.77,1.03,304,24,257,26,0.3,8.32,1.6,4.66,1.31
Tur,7.23,0.73,1.0,467,9,305,55,0.68,9.89,0.21,6.05,1.48
Soybean,8.5,0.21,0.64,549,19,512,48,1.77,7.03,1.65,7.34,0.46
Soybean,6.06,0.19,0.48,210,20,396,36,1.16,4.38,0.48,5.47,0.78
Wheat,8.08,0.88,0.92,251,7,540,34,1.04,3.32,0.11,6.83,0.66
Onion,7.38,1.49,0.59,171,23,378,13,0.23,5.72,0.53,6.74,0.99
Gram,7.77,0.41,0.31,213,11,430,11,0.36,5.55,1.93,6.79,1.39
Tomato,6.57,1.38,0.71,367,30,571,43,0.28,7.58,1.91,3.55,0.92
Sugarcane,7.48,0.25,0.37,458,27,396,22,1.69,3.05,1.91,1.22,0.2
Grapes,6.68,0.57,0.76,170,10,523,26,1.08,5.68,1.81,4.75,0.92
Grapes,7.55,0.59,0.92,362,11,233,48,1.63,2.89,0.44,7.74,1.04
Soybean,7.14,1.0,0.79,367,36,559,53,1.92,8.57,1.06,7.53,1.29
Cotton,6.09,0.28,0.47,511,38,489,45,1.47,4.65,1.2,3.24,0.74
Banana,7.57,0.22,0.49,197,8,100,7,1.14,2.51,0.25,7.64,0.38
Onion,7.63,0.53,1.15,256,10,211,20,1.9,2.11,0.32,2.12,0.12
